1,SMITH,Manhattan Proper,1813,20.85,30.05,92.9
2,JOHNSON,Manhattan Proper,1721,6.36,33.04,88.4
3,WILLIAMS,Manhattan Proper,1455,41.23,23.13,108.35999999999999
4,BROWN,Manhattan Proper,2007,21.84,44.91,89.75
5,JONES,Manhattan Proper,1448,14.81,50.9,102.71000000000001
6,MILLER,Manhattan Proper,2142,7.62,45.17,110.79
7,DAVIS,Manhattan Proper,1553,40.44,35.86,93.3
8,GARCIA,Manhattan Proper,2183,15.49,6.61,92.1
9,RODRIGUEZ,Manhattan Proper,1793,8.28,3.32,12.6
10,WILSON,Manhattan Proper,1687,13.05,14.72,100.77
11,MARTINEZ,Copper Barrel,2149,8.49,26.91,110.39999999999999
12,ANDERSON,Copper Barrel,1560,35.23,28.83,129.06
13,TAYLOR,Copper Barrel,1768,13.49,43.16,128.64999999999998
14,THOMAS,Copper Barrel,2015,39.65,50.65,117.30000000000001
15,HERNANDEZ,Copper Barrel,1792,24.13,41.1,122.22999999999999
16,MOORE,Copper Barrel,1866,0.96,25.06,39.019999999999996
17,MARTIN,Copper Barrel,1616,38.63,23.03,120.66
18,JACKSON,Copper Barrel,1428,38.08,7.88,115.96
19,THOMPSON,Copper Barrel,1948,11.64,43.94,105.58
20,WHITE,Copper Barrel,2191,22.95,4.51,113.46000000000001
21,LOPEZ,The Bar Room,2023,20.96,31.41,140.37
22,LEE,The Bar Room,1843,45.81,16.67,159.48000000000002
23,GONZALEZ,The Bar Room,1580,46.14,22.12,107.26
24,HARRIS,The Bar Room,1807,29.93,23.59,73.52
25,CLARK,The Bar Room,1478,21.63,6.97,28.599999999999998
26,LEWIS,The Bar Room,1796,11.8,15.8,74.6
27,ROBINSON,The Bar Room,1799,40.38,33.46,161.84
28,WALKER,The Bar Room,2282,6.06,41.67,84.73
29,PEREZ,The Bar Room,1587,37.55,43.06,180.61
30,HALL,The Bar Room,1675,36.7,30.76,71.46000000000001
31,YOUNG,The Wooly Public,1837,33.05,42.52,119.57
32,ALLEN,The Wooly Public,1680,39.83,31.39,150.22
33,SANCHEZ,The Wooly Public,2263,17.38,12.07,94.44999999999999
34,WRIGHT,The Wooly Public,1814,44.74,8.97,59.71
35,KING,The Wooly Public,1738,31.5,46.96,146.46
36,SCOTT,The Wooly Public,1595,0.07,42.35,45.42
37,GREEN,The Wooly Public,2020,37.59,44.6,120.19
