22000,COVEY,Buddha Bar Athens,1822,18.27,36.68,119.94999999999999
22001,PAINE,100 Proof,2123,28.97,30.21,119.18
22002,WOFFORD,100 Proof,2283,41.3,33.33,149.63
22003,FRAME,100 Proof,2293,7.85,28.19,57.040000000000006
22004,DUBE,100 Proof,2003,40.06,17.76,147.82
22005,GRICE,100 Proof,1909,2.48,35.77,124.25
22006,TULLY,100 Proof,1794,34.51,7.34,106.85
22007,BARTELS,100 Proof,2117,19.8,37.48,132.28
22008,LUCIANO,100 Proof,1759,16.77,46.51,67.28
22009,MOLNAR,100 Proof,1765,8.87,44.21,133.08
22010,WINSTEAD,100 Proof,2055,37.34,44.83,101.17
22011,CANADY,Magnolias of Athens,1669,17.37,10.8,53.17
22012,MOREAU,Magnolias of Athens,1546,22.7,17.14,39.84
22013,BURNSIDE,Magnolias of Athens,1620,35.68,45.02,167.70000000000002
22014,BRATCHER,Magnolias of Athens,1915,12.24,2.17,30.410000000000004
22015,INFANTE,Magnolias of Athens,1468,2.85,9.88,41.730000000000004
22016,PETERMAN,Magnolias of Athens,1828,10.26,4.47,42.73
22017,SWOPE,Magnolias of Athens,1459,40.89,32.84,145.73000000000002
22018,FREELAND,Magnolias of Athens,1469,0.83,25.38,58.209999999999994
22019,VETTER,Magnolias of Athens,1632,3.7199999999999998,6.2,37.92
22020,LANNING,Magnolias of Athens,1674,24.53,28.95,150.48
22021,MARQUIS,Utage Sushi Bar,1870,40.13,18.25,131.38
22022,SCHULZE,Utage Sushi Bar,1552,5.92,0.48,50.4
22023,THAI,Utage Sushi Bar,2110,15.96,28.52,80.48
22024,COPPOLA,Utage Sushi Bar,1921,39.8,0.79,77.59
22025,RAYBURN,Utage Sushi Bar,2154,20.78,35.96,138.74
22026,CONTE,Utage Sushi Bar,1633,17.53,43.14,77.67
22027,MARTZ,Utage Sushi Bar,1438,36.81,48.52,172.33
22028,SHOWALTER,Utage Sushi Bar,1801,22.54,9.96,103.5
22029,BANDY,Utage Sushi Bar,1455,19.14,18.69,80.83
22030,QUINONEZ,Utage Sushi Bar,1878,48.57,42.72,131.29
22031,BUNTING,Centro Athens,1509,41.12,38.01,166.13
22032,RAO,Centro Athens,1973,35.93,23.28,75.21000000000001
22033,BELT,Centro Athens,1660,2.7199999999999998,24.28,74.0
22034,CRUSE,Centro Athens,2134,13.22,48.51,131.73
22035,HAMBLIN,Centro Athens,2209,12.96,19.07,55.03
22036,HIMES,Centro Athens,1530,22.13,22.88,98.00999999999999
22037,RANEY,Centro Athens,1833,46.71,23.24,95.95
22038,MERRELL,Centro Athens,2297,13.36,43.64,146.0
22039,SEE,Centro Athens,1426,35.26,27.81,79.07
22040,GOUGH,Centro Athens,1826,19.33,26.2,91.53
22041,MACIEL,Two Eighty Three Inc,2209,42.86,38.74,155.6
22042,WIMBERLY,Two Eighty Three Inc,1975,46.3,22.06,98.36
22043,CRADDOCK,Two Eighty Three Inc,1694,15.51,39.83,61.339999999999996
22044,MARQUARDT,Two Eighty Three Inc,1433,22.47,23.77,113.24
22045,WENTZ,Two Eighty Three Inc,2127,35.19,34.31,156.5
22046,MEEKER,Two Eighty Three Inc,1828,26.42,20.13,66.55
22047,SANDBERG,Two Eighty Three Inc,2227,7.66,24.11,99.77
22048,MOSIER,Two Eighty Three Inc,1752,13.97,31.81,127.78
22049,WASSON,Two Eighty Three Inc,2064,36.37,28.12,152.49
22050,HUNDLEY,Two Eighty Three Inc,1519,27.11,46.43,173.54
22051,JOE,Mellow Mushroom,2214,26.96,12.89,96.85000000000001
22052,SHUMAKER,Mellow Mushroom,2043,9.94,45.69,129.63
22053,EMBRY,Mellow Mushroom,1656,33.25,6.79,50.04
22054,FORTIN,Mellow Mushroom,2067,45.8,48.07,139.87
22055,AKIN,Mellow Mushroom,1586,8.77,50.16,95.92999999999999
22056,OLIVAREZ,Mellow Mushroom,2032,13.26,24.81,39.07
22057,SEIDEL,Mellow Mushroom,2140,9.38,27.5,57.88
22058,COONS,Mellow Mushroom,2151,13.99,45.06,130.05
22059,CORRALES,Mellow Mushroom,1561,35.39,33.9,157.29
22060,EARLE,Mellow Mushroom,1527,20.92,31.24,95.16
22061,MATHENY,The Tavern on Broad,1954,23.16,1.5699999999999998,108.72999999999999
22062,KISH,The Tavern on Broad,1985,20.51,5.99,45.50000000000001
22063,OUTLAW,The Tavern on Broad,1868,3.1,5.9,93.0
22064,BARNETTE,The Tavern on Broad,2253,23.73,22.59,101.32000000000001
22065,LIEBERMAN,The Tavern on Broad,1984,13.43,26.57,85.0
22066,SPALDING,The Tavern on Broad,1680,25.58,41.96,95.53999999999999
22067,MARTEL,The Tavern on Broad,2251,46.13,41.17,170.3
22068,HARGIS,The Tavern on Broad,1566,22.82,23.23,127.05
22069,KELSO,The Tavern on Broad,1406,34.74,22.12,104.86000000000001
22070,MERRICK,The Tavern on Broad,2263,11.91,24.63,67.53999999999999
22071,FULLERTON,Whiskey Bent,2117,18.36,34.98,53.339999999999996
22072,FRIES,Whiskey Bent,1574,26.41,24.65,90.06
22073,DOUCETTE,Whiskey Bent,1771,35.4,9.58,127.98
22074,CLOUSE,Whiskey Bent,2192,25.59,48.83,135.42000000000002
22075,PREWITT,Whiskey Bent,2000,47.21,13.73,79.94000000000001
22076,HAWKS,Whiskey Bent,1725,6.76,16.03,99.79
22077,KEATON,Whiskey Bent,1937,25.26,30.51,117.77000000000001
22078,WORTHY,Whiskey Bent,2212,17.6,18.29,125.88999999999999
22079,ZOOK,Whiskey Bent,1407,13.16,10.43,104.59
22080,MONTEZ,Whiskey Bent,1935,33.31,32.37,123.68
22081,AUTRY,Eclectix Productions,1693,22.53,31.99,69.52
22082,POORE,Eclectix Productions,1694,8.54,11.65,88.19
22083,LEMAY,Eclectix Productions,2036,33.32,21.39,79.71000000000001
22084,FORSYTH,Eclectix Productions,2177,31.57,47.73,122.29999999999998
22085,SHIFFLETT,Eclectix Productions,1818,49.01,5.97,131.98
22086,BRISENO,Eclectix Productions,1637,21.42,30.1,129.52
22087,PIAZZA,Eclectix Productions,1569,40.81,0.37,45.18
22088,WELKER,Eclectix Productions,1994,42.78,2.23,55.01
22089,TENNANT,Eclectix Productions,1796,8.09,16.39,29.48
22090,HAGGARD,Eclectix Productions,1547,38.91,14.63,84.53999999999999
22091,HEINZ,Town House Cocktail Lounge,1467,30.08,44.2,156.28
22092,LEIGHTON,Town House Cocktail Lounge,1654,0.62,37.72,111.34
22093,BRITTAIN,Town House Cocktail Lounge,2094,45.48,21.7,152.17999999999998
22094,BEGLEY,Town House Cocktail Lounge,2293,45.83,24.71,146.54
22095,FLANDERS,Town House Cocktail Lounge,2257,12.86,9.91,29.77
22096,HERMANN,Town House Cocktail Lounge,2018,7.37,42.26,92.63
22097,BOTELLO,Town House Cocktail Lounge,2131,7.37,47.27,71.64
22098,MATHIAS,Town House Cocktail Lounge,1678,24.25,32.44,61.69
22099,HOFER,Town House Cocktail Lounge,1586,46.95,28.27,148.22
22100,HUTTO,Town House Cocktail Lounge,2050,47.5,36.63,162.13
22101,GODOY,Characters Saloon,2165,47.56,26.06,112.62
22102,CAVE,Characters Saloon,1696,1.8,26.93,67.72999999999999
22103,PAGANO,Characters Saloon,2163,42.84,6.44,64.28
22104,ASBURY,Characters Saloon,1883,47.52,40.59,132.11
22105,BOWENS,Characters Saloon,1585,27.62,16.71,139.33
22106,WITHROW,Characters Saloon,1723,4.38,28.34,41.72
22107,OLIVO,Characters Saloon,1639,30.37,28.15,99.52000000000001
22108,HARBIN,Characters Saloon,1697,33.5,3.11,119.61
22109,ANDRE,Characters Saloon,1496,41.24,13.37,91.61000000000001
22110,SANDLIN,Characters Saloon,2061,47.08,25.29,157.36999999999998
22111,WERTZ,John S. Beverly Elks Lodge,2038,45.16,27.55,115.71
22112,DESIMONE,John S. Beverly Elks Lodge,1823,44.09,4.55,86.64
22113,GREINER,John S. Beverly Elks Lodge,1970,28.38,22.64,123.02
22114,HEINRICH,John S. Beverly Elks Lodge,1952,2.11,27.35,48.46
22115,WHITCOMB,John S. Beverly Elks Lodge,2030,19.43,15.74,74.17
22116,DAYTON,John S. Beverly Elks Lodge,1624,33.75,43.76,138.51
22117,PETRIE,John S. Beverly Elks Lodge,2253,1.6600000000000001,43.81,76.47
22118,HAIR,John S. Beverly Elks Lodge,2044,18.96,28.85,57.81
22119,KETCHUM,John S. Beverly Elks Lodge,1657,12.54,30.94,124.47999999999999
22120,BIANCO,John S. Beverly Elks Lodge,1528,28.11,7.24,120.35
22121,COCHRANE,Vino Godfather Winery,1565,10.44,49.45,75.89
22122,HEIL,Vino Godfather Winery,1477,32.7,16.08,128.78
22123,SHANAHAN,Vino Godfather Winery,1605,27.3,13.78,98.08
22124,DAGOSTINO,Vino Godfather Winery,1722,35.15,36.1,131.25
22125,WEGNER,Vino Godfather Winery,1490,30.29,12.85,73.14
22126,COUTURE,Vino Godfather Winery,2129,2.96,42.68,77.64
22127,LING,Vino Godfather Winery,1616,27.11,28.71,124.82
22128,WINGATE,Vino Godfather Winery,2062,25.71,42.3,139.01
22129,ARENAS,Vino Godfather Winery,1960,42.32,3.84,46.16
22130,KEEL,Vino Godfather Winery,1758,20.46,9.61,52.07
22131,CASTEEL,My Office Bar & Grill,1746,30.75,2.54,55.29
22132,BOOTHE,My Office Bar & Grill,2189,35.45,19.31,87.76
22133,DEROSA,My Office Bar & Grill,1564,46.13,16.63,101.75999999999999
22134,HORST,My Office Bar & Grill,1607,14.63,32.78,51.410000000000004
22135,RAU,My Office Bar & Grill,2221,1.72,7.26,74.98
22136,MCCORKLE,My Office Bar & Grill,2090,4.05,30.31,122.36
22137,PALERMO,My Office Bar & Grill,2195,18.7,35.74,103.44
22138,ALTAMIRANO,My Office Bar & Grill,1444,30.56,3.86,89.42
22139,NALL,My Office Bar & Grill,1909,47.43,40.4,187.83
22140,SHUMATE,My Office Bar & Grill,1959,9.26,4.8100000000000005,67.07
22141,LIGHTFOOT,Blue Rock Lounge,1552,29.64,25.43,68.07
22142,CREAMER,Blue Rock Lounge,1941,12.95,12.37,73.32000000000001
22143,ROMEO,Blue Rock Lounge,1525,24.59,7.95,44.540000000000006
22144,COFFIN,Blue Rock Lounge,1703,1.24,48.84,55.080000000000005
22145,HUTCHINGS,Blue Rock Lounge,1604,49.7,16.52,80.22
22146,JEROME,Blue Rock Lounge,2137,21.66,7.0,126.66
22147,HUTCHESON,Blue Rock Lounge,1786,1.9100000000000001,10.41,102.32
22148,DAMRON,Blue Rock Lounge,1472,21.74,27.94,81.67999999999999
22149,SORRELL,Blue Rock Lounge,1662,6.16,44.01,126.16999999999999
22150,NICKEL,Blue Rock Lounge,1804,17.01,5.64,121.65
