1,SMITH,2187,18.98,48.06,152.04000000000002
2,JOHNSON,2222,24.97,29.08,142.05
3,WILLIAMS,1924,7.0,14.01,109.01
4,BROWN,1790,32.54,26.39,63.93
5,JONES,2205,17.12,8.12,38.24
6,MILLER,1413,23.33,47.0,97.33
7,DAVIS,1509,45.17,48.88,186.05
8,GARCIA,1477,33.93,21.81,105.74000000000001
9,RODRIGUEZ,1500,23.69,21.8,109.49
10,WILSON,2208,26.78,11.62,57.4
11,MARTINEZ,2128,40.11,33.17,168.28000000000003
12,ANDERSON,1581,8.72,21.7,85.42
13,TAYLOR,2026,31.74,3.55,66.28999999999999
14,THOMAS,1591,13.66,28.17,120.83
15,HERNANDEZ,1671,28.74,49.86,103.6
16,MOORE,1650,25.4,36.75,82.15
17,MARTIN,1754,13.93,36.61,99.53999999999999
18,JACKSON,1620,30.12,44.23,149.35
19,THOMPSON,1539,50.1,11.6,112.69999999999999
20,WHITE,1857,37.16,12.97,86.13
21,LOPEZ,2152,48.85,40.25,91.1
22,LEE,1461,35.08,41.95,102.03
23,GONZALEZ,1688,37.94,25.73,162.67
24,HARRIS,1963,35.74,33.33,81.07
25,CLARK,1767,39.22,21.7,121.92
26,LEWIS,1684,18.31,28.2,103.51
27,ROBINSON,2067,17.15,27.72,111.87
28,WALKER,2147,2.63,45.8,84.43
29,PEREZ,1632,24.67,7.3,44.97
30,HALL,1967,50.91,6.05,102.96
31,YOUNG,1516,34.98,1.13,135.10999999999999
32,ALLEN,1676,40.29,1.85,139.14
33,SANCHEZ,2082,27.15,20.63,58.78
34,WRIGHT,1474,9.23,27.6,80.83000000000001
35,KING,1869,37.08,20.94,129.02
36,SCOTT,1530,26.92,27.96,116.88
37,GREEN,2232,23.62,21.47,47.09
38,BAKER,2203,24.82,42.19,139.01
39,ADAMS,1571,33.52,33.49,116.01000000000002
40,NELSON,2076,21.18,36.7,116.88000000000001
41,HILL,2131,42.58,34.14,147.72
42,RAMIREZ,2205,26.06,2.43,58.49
43,CAMPBELL,2206,37.71,1.38,93.09
